pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Espana,banco_pyme,Exposicion PYME en Espana | BBVA,24410.2800,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"valor de exposicion, partida 2520523, contraparte con Country = 28 (Espana). Solo cartera espanola del grupo"
Espana,banco_pyme,Ratio CET1 | Bankinter,12.5742,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"CET1 (2520102, con ajustes transitorios) sobre RWA totales (2520138); grupo consolidado; para este banco el grupo es practicamente el negocio domestico"
Espana,banco_pyme,Ratio de eficiencia (cost-to-income) | Bankinter,33.6790,pct_ingresos,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"gastos de administracion sobre margen bruto, partidas 2520317 y 2520316; grupo consolidado; para este banco el grupo es practicamente el negocio domestico"
Espana,banco_pyme,Provisiones de la cartera PYME en Espana | Bankinter,319.8294,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"partida 2520553, contraparte espanola"
Espana,banco_pyme,Cobertura de la exposicion PYME en default en Espana | Bankinter,74.0967,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,"OBSERVADO. Provisiones de la cartera PYME sobre su exposicion en default. Incluye provisiones de las fases 1 y 2, asi que sobreestima la cobertura del default en si; el sesgo es el mismo para los cinco, de modo que sirve para comparar entre bancos, no como nivel absoluto"
Espana,banco_pyme,Tasa de exposicion PYME en default en Espana | Bankinter,2.3354,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,"exposicion original en default sobre exposicion original de PYME, contraparte espanola. Es un ratio de STOCK, no una PD de flujo"
Espana,banco_pyme,Exposicion PYME en Espana | CaixaBank,48736.1638,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"valor de exposicion, partida 2520523, contraparte con Country = 28 (Espana). Solo cartera espanola del grupo"
Espana,banco_pyme,"Activos ponderados por riesgo, PYME en Espana | CaixaBank",23955.2617,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"partida 2520533, contraparte espanola"
Espana,banco_pyme,Densidad de RWA de la cartera PYME en Espana | CaixaBank,49.1529,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,OBSERVADO. RWA sobre valor de exposicion de la cartera PYME espanola; incorpora ya el factor de apoyo a PYME del art. 501 CRR
Espana,banco_pyme,Ratio CET1 | CaixaBank,12.2500,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"CET1 (2520102, con ajustes transitorios) sobre RWA totales (2520138); grupo consolidado; para este banco el grupo es practicamente el negocio domestico"
Espana,banco_pyme,Ratio de eficiencia (cost-to-income) | CaixaBank,40.4577,pct_ingresos,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"gastos de administracion sobre margen bruto, partidas 2520317 y 2520316; grupo consolidado; para este banco el grupo es practicamente el negocio domestico"
Espana,banco_pyme,Provisiones de la cartera PYME en Espana | CaixaBank,1715.7759,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"partida 2520553, contraparte espanola"
Espana,banco_pyme,Cobertura de la exposicion PYME en default en Espana | CaixaBank,53.6498,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,"OBSERVADO. Provisiones de la cartera PYME sobre su exposicion en default. Incluye provisiones de las fases 1 y 2, asi que sobreestima la cobertura del default en si; el sesgo es el mismo para los cinco, de modo que sirve para comparar entre bancos, no como nivel absoluto"
Espana,banco_pyme,Tasa de exposicion PYME en default en Espana | CaixaBank,5.2971,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,"exposicion original en default sobre exposicion original de PYME, contraparte espanola. Es un ratio de STOCK, no una PD de flujo"
Espana,banco_pyme,Exposicion PYME en Espana | Sabadell,22324.0310,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"valor de exposicion, partida 2520523, contraparte con Country = 28 (Espana). Solo cartera espanola del grupo"
Espana,banco_pyme,"Activos ponderados por riesgo, PYME en Espana | Sabadell",8337.1728,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"partida 2520533, contraparte espanola"
Espana,banco_pyme,Densidad de RWA de la cartera PYME en Espana | Sabadell,37.3462,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,OBSERVADO. RWA sobre valor de exposicion de la cartera PYME espanola; incorpora ya el factor de apoyo a PYME del art. 501 CRR
Espana,banco_pyme,Ratio CET1 | Sabadell,13.0597,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"CET1 (2520102, con ajustes transitorios) sobre RWA totales (2520138); grupo consolidado; para este banco el grupo es practicamente el negocio domestico"
Espana,banco_pyme,Ratio de eficiencia (cost-to-income) | Sabadell,41.0153,pct_ingresos,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"gastos de administracion sobre margen bruto, partidas 2520317 y 2520316; grupo consolidado; para este banco el grupo es practicamente el negocio domestico"
Espana,banco_pyme,Provisiones de la cartera PYME en Espana | Sabadell,924.8317,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"partida 2520553, contraparte espanola"
Espana,banco_pyme,Cobertura de la exposicion PYME en default en Espana | Sabadell,56.0930,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,"OBSERVADO. Provisiones de la cartera PYME sobre su exposicion en default. Incluye provisiones de las fases 1 y 2, asi que sobreestima la cobertura del default en si; el sesgo es el mismo para los cinco, de modo que sirve para comparar entre bancos, no como nivel absoluto"
Espana,banco_pyme,Tasa de exposicion PYME en default en Espana | Sabadell,5.9121,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,"exposicion original en default sobre exposicion original de PYME, contraparte espanola. Es un ratio de STOCK, no una PD de flujo"
Espana,banco_pyme,Exposicion PYME en Espana | Santander,32324.8072,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"valor de exposicion, partida 2520523, contraparte con Country = 28 (Espana). Solo cartera espanola del grupo"
Espana,banco_pyme,"Activos ponderados por riesgo, PYME en Espana | Santander",20253.2915,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"partida 2520533, contraparte espanola"
Espana,banco_pyme,Densidad de RWA de la cartera PYME en Espana | Santander,62.6556,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,OBSERVADO. RWA sobre valor de exposicion de la cartera PYME espanola; incorpora ya el factor de apoyo a PYME del art. 501 CRR
Espana,banco_pyme,Ratio CET1 | Santander,12.9849,pct_rwa,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"CET1 (2520102, con ajustes transitorios) sobre RWA totales (2520138); GRUPO CONSOLIDADO, no Espana: incluye el negocio internacional, que en este banco es mayoritario"
Espana,banco_pyme,Ratio de eficiencia (cost-to-income) | Santander,36.9887,pct_ingresos,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,entidad,ratio,dato_unico,"gastos de administracion sobre margen bruto, partidas 2520317 y 2520316; GRUPO CONSOLIDADO, no Espana: incluye el negocio internacional, que en este banco es mayoritario"
Espana,banco_pyme,Provisiones de la cartera PYME en Espana | Santander,1373.7726,eur_millones,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,importe,dato_unico,"partida 2520553, contraparte espanola"
Espana,banco_pyme,Cobertura de la exposicion PYME en default en Espana | Santander,36.5416,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,"OBSERVADO. Provisiones de la cartera PYME sobre su exposicion en default. Incluye provisiones de las fases 1 y 2, asi que sobreestima la cobertura del default en si; el sesgo es el mismo para los cinco, de modo que sirve para comparar entre bancos, no como nivel absoluto"
Espana,banco_pyme,Tasa de exposicion PYME en default en Espana | Santander,7.8045,pct_cartera,2025-06,"EBA, EU-wide Transparency Exercise",https://www.eba.europa.eu/risk-and-data-analysis/risk-analysis/eu-wide-transparency-exercise,2026-09-17,,,pyme_mixta_estandar_e_irb,ratio,dato_unico,"exposicion original en default sobre exposicion original de PYME, contraparte espanola. Es un ratio de STOCK, no una PD de flujo"
