pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Alemania,segmento_empresas,Ingresos del segmento | Corporate Clients,1232,eur_millones,2026-Q2,"Commerzbank (Commerzbank, comunicado de resultados Q2 2026, p. 4)",https://www.commerzbank.de/group/newsroom/press-releases/2026/20260806-pr-q2-2026.pdf,2026-09-22,,,entidad,importe,dato_unico,"perimetro: Grandes empresas, PYME alemana, sector publico aleman, clientes internacionales e institucionales. No aisla PYME."
Espana,segmento_empresas,Comisiones netas | Grupo consolidado,2075,eur_millones,2026-H1,"CaixaBank (CaixaBank, Actividad y Resultados enero-junio 2026, p. 6 y 66)",https://www.caixabank.com/es/accionistas-inversores.html,2026-09-22,,,entidad,importe,dato_unico,"perimetro: NO publica cuenta de resultados de un segmento de empresas. Sus segmentos son bancario y seguros, actividad aseguradora, participaciones y BPI."
Espana,segmento_empresas,Comisiones bancarias mayoristas | Grupo consolidado,193,eur_millones,2026-H1,"CaixaBank (CaixaBank, Actividad y Resultados enero-junio 2026, p. 6 y 66)",https://www.caixabank.com/es/accionistas-inversores.html,2026-09-22,,,entidad,importe,dato_unico,"perimetro: NO publica cuenta de resultados de un segmento de empresas. Sus segmentos son bancario y seguros, actividad aseguradora, participaciones y BPI."
Espana,segmento_empresas,Ingresos del segmento | Grupo consolidado,8338,eur_millones,2026-H1,"CaixaBank (CaixaBank, Actividad y Resultados enero-junio 2026, p. 6 y 66)",https://www.caixabank.com/es/accionistas-inversores.html,2026-09-22,,,entidad,importe,dato_unico,"perimetro: NO publica cuenta de resultados de un segmento de empresas. Sus segmentos son bancario y seguros, actividad aseguradora, participaciones y BPI."
Espana,segmento_empresas,Ratio de eficiencia (cost-income) | Grupo consolidado,39.6,pct_ingresos,2026-H1,"CaixaBank (CaixaBank, Actividad y Resultados enero-junio 2026, p. 6 y 66)",https://www.caixabank.com/es/accionistas-inversores.html,2026-09-22,,,entidad,ratio,dato_unico,"perimetro: NO publica cuenta de resultados de un segmento de empresas. Sus segmentos son bancario y seguros, actividad aseguradora, participaciones y BPI."
Espana,segmento_empresas,Coste del riesgo | Grupo consolidado,24.0,pb,2026-H1,"CaixaBank (CaixaBank, Actividad y Resultados enero-junio 2026, p. 6 y 66)",https://www.caixabank.com/es/accionistas-inversores.html,2026-09-22,,,entidad,ratio,dato_unico,"perimetro: NO publica cuenta de resultados de un segmento de empresas. Sus segmentos son bancario y seguros, actividad aseguradora, participaciones y BPI."
Espana,segmento_empresas,ROE del segmento | Grupo consolidado,15.4,pct_roe,2026-H1,"CaixaBank (CaixaBank, Actividad y Resultados enero-junio 2026, p. 6 y 66)",https://www.caixabank.com/es/accionistas-inversores.html,2026-09-22,,,entidad,ratio,dato_unico,"perimetro: NO publica cuenta de resultados de un segmento de empresas. Sus segmentos son bancario y seguros, actividad aseguradora, participaciones y BPI."
Espana,segmento_empresas,Ratio de morosidad | Grupo consolidado,1.8,pct_cartera,2026-H1,"CaixaBank (CaixaBank, Actividad y Resultados enero-junio 2026, p. 6 y 66)",https://www.caixabank.com/es/accionistas-inversores.html,2026-09-22,,,entidad,ratio,dato_unico,"perimetro: NO publica cuenta de resultados de un segmento de empresas. Sus segmentos son bancario y seguros, actividad aseguradora, participaciones y BPI."
Espana,segmento_empresas,Credito a la clientela bruto | Grupo consolidado,406233,eur_millones,2026-H1,"CaixaBank (CaixaBank, Actividad y Resultados enero-junio 2026, p. 6 y 66)",https://www.caixabank.com/es/accionistas-inversores.html,2026-09-22,,,entidad,importe,dato_unico,"perimetro: NO publica cuenta de resultados de un segmento de empresas. Sus segmentos son bancario y seguros, actividad aseguradora, participaciones y BPI."
Espana,segmento_empresas,Comisiones netas sobre ingresos del segmento | Grupo consolidado,24.9,pct_ingresos,2026-H1,"CaixaBank (CaixaBank, Actividad y Resultados enero-junio 2026, p. 6 y 66)",https://www.caixabank.com/es/accionistas-inversores.html,2026-09-22,,,entidad,ratio,dato_unico,calculo propio sobre las dos filas anteriores
Italia,segmento_empresas,Margen de intereses | Grupo consolidado,2211.8,eur_millones,2026-H1,"BPER Banca (BPER, resultados consolidados a 30 junio 2026, p. 19; prestamos a la clientela, informe intermedio consolidado a 30 junio 2026, p. 34)",https://group.bper.it/en/investor-relations/group-results/financial-statements-reports,2026-09-22,,,entidad,importe,dato_unico,perimetro: El comunicado NO desglosa por division ni segmento. Incluye la integracion de Banca Popolare di Sondrio.
Italia,segmento_empresas,Comisiones netas | Grupo consolidado,1353.4,eur_millones,2026-H1,"BPER Banca (BPER, resultados consolidados a 30 junio 2026, p. 19; prestamos a la clientela, informe intermedio consolidado a 30 junio 2026, p. 34)",https://group.bper.it/en/investor-relations/group-results/financial-statements-reports,2026-09-22,,,entidad,importe,dato_unico,perimetro: El comunicado NO desglosa por division ni segmento. Incluye la integracion de Banca Popolare di Sondrio.
Italia,segmento_empresas,Ingresos del segmento | Grupo consolidado,3876.2,eur_millones,2026-H1,"BPER Banca (BPER, resultados consolidados a 30 junio 2026, p. 19; prestamos a la clientela, informe intermedio consolidado a 30 junio 2026, p. 34)",https://group.bper.it/en/investor-relations/group-results/financial-statements-reports,2026-09-22,,,entidad,importe,dato_unico,perimetro: El comunicado NO desglosa por division ni segmento. Incluye la integracion de Banca Popolare di Sondrio.
Italia,segmento_empresas,Costes operativos | Grupo consolidado,1605.3,eur_millones,2026-H1,"BPER Banca (BPER, resultados consolidados a 30 junio 2026, p. 19; prestamos a la clientela, informe intermedio consolidado a 30 junio 2026, p. 34)",https://group.bper.it/en/investor-relations/group-results/financial-statements-reports,2026-09-22,,,entidad,importe,dato_unico,perimetro: El comunicado NO desglosa por division ni segmento. Incluye la integracion de Banca Popolare di Sondrio.
Italia,segmento_empresas,Ratio de eficiencia (cost-income) | Grupo consolidado,41.4,pct_ingresos,2026-H1,"BPER Banca (BPER, resultados consolidados a 30 junio 2026, p. 19; prestamos a la clientela, informe intermedio consolidado a 30 junio 2026, p. 34)",https://group.bper.it/en/investor-relations/group-results/financial-statements-reports,2026-09-22,,,entidad,ratio,dato_unico,perimetro: El comunicado NO desglosa por division ni segmento. Incluye la integracion de Banca Popolare di Sondrio.
Italia,segmento_empresas,Saneamientos por riesgo de credito | Grupo consolidado,177,eur_millones,2026-H1,"BPER Banca (BPER, resultados consolidados a 30 junio 2026, p. 19; prestamos a la clientela, informe intermedio consolidado a 30 junio 2026, p. 34)",https://group.bper.it/en/investor-relations/group-results/financial-statements-reports,2026-09-22,,,entidad,importe,dato_unico,perimetro: El comunicado NO desglosa por division ni segmento. Incluye la integracion de Banca Popolare di Sondrio.
Italia,segmento_empresas,Prestamos netos a clientes | Grupo consolidado,129693.8,eur_millones,2026-H1,"BPER Banca (BPER, resultados consolidados a 30 junio 2026, p. 19; prestamos a la clientela, informe intermedio consolidado a 30 junio 2026, p. 34)",https://group.bper.it/en/investor-relations/group-results/financial-statements-reports,2026-09-22,,,entidad,importe,dato_unico,perimetro: El comunicado NO desglosa por division ni segmento. Incluye la integracion de Banca Popolare di Sondrio.
Italia,segmento_empresas,Prestamos netos a clientes al cierre anterior | Grupo consolidado,128738.1,eur_millones,2026-H1,"BPER Banca (BPER, resultados consolidados a 30 junio 2026, p. 19; prestamos a la clientela, informe intermedio consolidado a 30 junio 2026, p. 34)",https://group.bper.it/en/investor-relations/group-results/financial-statements-reports,2026-09-22,,,entidad,importe,dato_unico,perimetro: El comunicado NO desglosa por division ni segmento. Incluye la integracion de Banca Popolare di Sondrio.
Italia,segmento_empresas,Comisiones netas sobre ingresos del segmento | Grupo consolidado,34.9,pct_ingresos,2026-H1,"BPER Banca (BPER, resultados consolidados a 30 junio 2026, p. 19; prestamos a la clientela, informe intermedio consolidado a 30 junio 2026, p. 34)",https://group.bper.it/en/investor-relations/group-results/financial-statements-reports,2026-09-22,,,entidad,ratio,dato_unico,calculo propio sobre las dos filas anteriores
