pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-01,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-23,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-24,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-25,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-26,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-27,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-28,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-29,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-30,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-01-31,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-02-01,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-02-02,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-02-03,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,3,pct_anual,2025-02-04,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-05,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-06,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-07,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-08,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-09,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-10,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-11,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-12,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-13,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-14,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-15,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-16,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-17,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-18,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-19,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-20,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-21,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-22,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-23,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-24,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-25,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-26,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-27,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-02-28,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-03-01,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-03-02,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-03-03,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-03-04,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-03-05,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-03-06,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-03-07,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-03-08,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-03-09,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-03-10,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.75,pct_anual,2025-03-11,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.5,pct_anual,2025-03-12,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.5,pct_anual,2025-03-13,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.5,pct_anual,2025-03-14,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.5,pct_anual,2025-03-15,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.5,pct_anual,2025-03-16,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.5,pct_anual,2025-03-17,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.5,pct_anual,2025-03-18,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.5,pct_anual,2025-03-19,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
Zona euro (referencia),liquidez_banco_central,tipo_facilidad_deposito_BCE | Deposit facility - date of changes (raw data) - Level,2.5,pct_anual,2025-03-20,"BCE, ECB Data Portal, dataset FM",https://data.ecb.europa.eu/data/datasets/FM,2026-09-16,,,n/a,nivel,media_ponderada_volumen,serie FM.D.U2.EUR.4F.KR.DFR.LEV
