pais,producto,metrica,valor,unidad,periodo_referencia,fuente,url,fecha_publicacion,tramo_importe,plazo_fijacion,criterio_segmentacion,tipo_de_dato,ponderacion,notas
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,5.92,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 50.000 a 125.000 EUR,De 1 a 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,6.25,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 50.000 a 125.000 EUR,Mas de 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,4.84,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 125.000 a 250.000 EUR,Total duraciones,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,4.09,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 125.000 a 250.000 EUR,Hasta 1 ano,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,5.04,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 125.000 a 250.000 EUR,De 1 a 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,5.27,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 125.000 a 250.000 EUR,Mas de 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,4.40,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 250.000 a 500.000 EUR,Total duraciones,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,3.88,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 250.000 a 500.000 EUR,Hasta 1 ano,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,4.51,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 250.000 a 500.000 EUR,De 1 a 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,4.75,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 250.000 a 500.000 EUR,Mas de 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,3.99,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 500.000 a 1.000.000 EUR,Total duraciones,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,3.51,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 500.000 a 1.000.000 EUR,Hasta 1 ano,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,4.07,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 500.000 a 1.000.000 EUR,De 1 a 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,4.31,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,De 500.000 a 1.000.000 EUR,Mas de 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,3.23,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Mas de 1.000.000 EUR,Total duraciones,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,2.71,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Mas de 1.000.000 EUR,Hasta 1 ano,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,3.40,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Mas de 1.000.000 EUR,De 1 a 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
Italia,prestamo_empresas_por_tramo,TAEG (tipo con comisiones) | prestamos de inversion,3.72,pct_anual,2026-Q1,"Banca d'Italia, STACORIS, tavola TRI30951 (fuente AnaCredit)",https://www.bancaditalia.it/pubblicazioni/condizioni-rischiosita/index.html,2026-09-16,Mas de 1.000.000 EUR,Mas de 5 anos,tamano_prestamo,nivel,media_ponderada_volumen,"sociedades no financieras y familias productoras, excluidos empresarios individuales; solo prestamos de inversion; clase = ammontare a disposizione, no importe del prestamo; NO comparable directamente con los tramos del MIR"
